,id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,volume,price_change,price_change_pct,volume_change,volume_change_pct,market_cap_change,market_cap_change_pct
0,BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,49729.49724596,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,18644550,21000000,927184097877,380,55325,5075,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,57128.47759907,2021-02-21T00:00:00Z,62543357469.47,-1151.24162468,-0.0226,-2111538543.96,-0.0327,-21421438689.74,-0.0226
1,ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,1584.00427756,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,114911428,,182020194183,382,35385,22125,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,1959.31784020,2021-02-19T00:00:00Z,46264719902.03,-8.56422049,-0.0054,-1811271457.51,-0.0377,-962557360.36,-0.0053
2,LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LINK.jpg,active,29.42002457,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,410009556,1000000000,12062491224,191,1294,18,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,9,0,34.75773383,2021-02-19T00:00:00Z,2647676416.69,-0.71976687,-0.0239,-633399666.76,-0.1930,-295111294.24,-0.0239
3,UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,28.82374672,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,311815982,1000000000,8987704881,117,408,19,2019-06-03T00:00:00Z,2020-08-24T00:00:00Z,2019-10-11T00:00:00Z,12,1,28.91145396,2021-02-21T00:00:00Z,1792429087.49,2.88044879,0.1110,407933152.84,0.2946,898752308.07,0.1111
4,AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,398.72346838,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,12424335,16000000,4953873948,79,162,5,2020-10-03T00:00:00Z,2020-10-07T00:00:00Z,2020-10-04T00:00:00Z,19,0,529.85227633,2021-02-12T00:00:00Z,1036348221.42,0.88717410,0.0022,-356183061.99,-0.2558,11393055.58,0.0023
5,SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,22.79186580,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,147324413,219888971,3357798247,89,204,6,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,32,-2,27.11804085,2021-02-12T00:00:00Z,271794716.29,-0.27403493,-0.0119,-8457248.32,-0.0302,-38679490.19,-0.0114
6,COMP,COMP,COMP,Compound,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COMP.png,active,488.49793450,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,4344719,10000000,2122386070,98,227,6,2020-06-15T00:00:00Z,2020-06-16T00:00:00Z,2020-06-15T00:00:00Z,47,-2,537.88545298,2021-02-12T00:00:00Z,239567392.58,-12.01473701,-0.0240,-129901771.29,-0.3516,-50528520.68,-0.0233
7,MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,2199.53781730,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,901683,995239,1983284957,112,277,5,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,48,-2,2741.42091393,2021-02-12T00:00:00Z,108124886.10,-72.04254307,-0.0317,-9459346.96,-0.0804,-64959506.86,-0.0317
8,UMA,UMA,UMA,UMA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UMA.jpeg,active,21.82653549,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,56161578,101737209,1225812682,55,111,0,2020-04-30T00:00:00Z,2020-07-30T00:00:00Z,2020-04-30T00:00:00Z,66,-2,33.82452303,2021-02-04T00:00:00Z,76109648.07,0.20355695,0.0094,-7738154.85,-0.0923,12227945.35,0.0101
9,YFI,YFI,YFI,yearn.finance,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/YFI.png,active,33136.43054903,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,35546,36666,1177881156,100,246,7,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,69,-6,47170.39089126,2021-02-13T00:00:00Z,291824094.29,-1243.29859936,-0.0362,11238025.53,0.0401,-44194802.12,-0.0362
10,REN,REN,REN,REN,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ren.jpg,active,1.11559632,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,881153019,1000000000,983011069,80,190,2,2018-02-17T00:00:00Z,2018-02-17T00:00:00Z,2018-12-06T00:00:00Z,73,0,1.72374662,2021-02-19T00:00:00Z,155489948.31,-0.00426308,-0.0038,-29932400.24,-0.1614,-3756428.90,-0.0038
11,OMG,OMG,OMG,OMG Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMG.jpeg,active,4.90148341,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,140245398,140245398,687410493,175,450,2,2017-06-19T00:00:00Z,2017-06-19T00:00:00Z,2018-08-29T00:00:00Z,90,-1,25.57757499,2018-01-13T00:00:00Z,297965770.28,0.07405785,0.0153,-61876059.76,-0.1720,10386272.12,0.0153
12,CRV,CRV,CRV,Curve DAO Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRV2.jpg,active,2.22685759,2021-03-04T00:00:00Z,2021-03-04T14:21:00Z,239758616,1445443734,533908293,66,157,10,2020-08-13T00:00:00Z,2020-08-14T00:00:00Z,2020-08-14T00:00:00Z,100,-2,6.58792676,2020-08-15T00:00:00Z,259355217.01,-0.07379927,-0.0321,-353517442.95,-0.5768,-10926523.14,-0.0201
13,BAND,BAND,BAND,Band Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BAND.png,active,13.12352550,2021-03-04T00:00:00Z,2021-03-04T14:22:00Z,22568073,100000000,296172681,63,146,1,2019-09-18T00:00:00Z,2019-09-18T00:00:00Z,2019-09-18T00:00:00Z,129,-3,18.72289245,2021-02-12T00:00:00Z,212111701.32,-0.69117162,-0.0500,-27727273.13,-0.1156,-15598411.69,-0.0500
